text,is_sarcastic
third-grade slumber party a snakepit of machiavellian alliances,1
18-year-old fighting in afghanistan has 9/11 explained to him by older soldier,1
tesla unveils the d at event in la,0
'toy story 4' coming to theaters in 2019,0
"study finds swans only other animals who mate for few years, get scared, end things, then regret it",1
roommate never seems to leave apartment,1
"on 'conan,' trump calls obama for valentine's day advice",0
pope francis pardons those who dodged the draft during crusades,1
"bloated, rotund bernie sanders reveals he has finished drinking all of flint's water supply",1
shared leadership among women and men: good news and bad news,0
american media reports news other than zoo's escaped cobra as if anything else really matters,1
sean spicer says donald trump is a 'champion' of first amendment,0
brooks brothers unveils new line of monogramed cum rags,1
disturbance of arafat's grave casts horrible curse on middle east,1
journalist walks off tv show when it won't address real cause of orlando shooting,0
"lost cat, dog on journey die immediately",1
obama now attempting to get each word of jobs bill passed individually,1
sprite introduces cola-flavored sprite,1
why eating salmon is so damn good for your skin,0
twitter roasts mariah carey for 'disaster' hot tea moment during new year's performance,0
study: depression up among teenage girls able to perceive any part of world around them,1
poll finds americans' greatest fear is waitress forgetting about them,1
new study finds earth's core will be most habitable part of planet by 2060,1
"emerson, lake & palmer co-founder, greg lake, dead at 69",0
bertha cáceres: 'my mother's is not the first assassination. i don't want another',0
another bunch of southerners dead,1
grandma happy to babysit while couple desperately attempts to rekindle relationship,1
winston churchill's grandson introduces a new nickname for donald trump,0
everyone outraged catholic priest did that thing everyone jokes about,1
english soccer's out-of-nowhere goal machine,0
amazon admits alexa device eavesdropped on portland family,0
fisher-price releases new in utero fetal activity gym,1
guest given air mattress that will slowly deflate throughout night,1
living in the moment: the beauty of uncertainty,0
cheney wows sept. 11 commission by drinking glass of water while bush speaks,1
human skeletons found under nyc's washington square park,0
"to fight human trafficking, the budget must protect homeless kids",0
what the everyday items in your home say about you on a deeper level,0
retired security guard pens open letter to colin kaepernick about national anthem,1
ceo sad nobody noticed new tie,1
military recruiter upset area man hasn't called him back,1
should my child play football?,0
toothbrush melts into oblivion in surprisingly hypnotic video,0
monday's morning email: what the global cyberattack could mean for you,0
man keeping running total of how many people in gym in worse shape than him,1
polar bear cub sleeps and dreams with cuddly toy in adorable clip,0
nation on edge as court votes whether to legalize gay marriage now or in a few years,1
out-of-control conversation safely turned back onto self,1
"chrissy teigen knows what we want, keeps giving it to us",0
the amazing london museum you never heard of,0
"as the u.s. debates gun control, australians turn in their firearms",0
jonathan rhys meyers apologizes after troubling photos emerge,0
'she loves me' to be the first live streamed broadway show,0
"for a first-time marathoner, there's strength in numbers",0
area man meets that special someone else,1
report: it would probably be nice having friends,1
woman getting all defensive about inherent worth and selfhood,1
disaster movies are tame compared to what happened 3.3 billion years ago,0
'p is for p*ssy' is the alphabet book of your wet dreams,0
"let's not forget that men have impeccable winter style, too",0
roth vs. traditional 401(k) -- which is better?,0
study: obsessive-compulsive disorder obsessive-compulsive disorder obsessive-compulsive disorder,1
report: someone probably masturbating to this stock photo right now,1
supporters aggravated bernie sanders didn't use dnc speech to get voters to act against their own self-interest,1
pope francis spotted sunbathing nude in st. peter's square,1
"fiorina and carson defend saudi government, which cites sharia law to execute 47 people",0
soaring gas prices forcing more americans to drink less gas,1
this crazy thing happened when i quit diet coke,0
new office manager provides terrifying glimpse into plans for regime by placing new collection of teas in drawer,1
sarah silverman channels joan rivers in heaven,0
bee practically blows its load after seeing purple coneflower in full bloom,1
illinois' wall of fame: the state's best designations,0
city terrorized but unimpressed by serial killer who just shoots victims,1
the only shopping guide for cyber monday you need,0
serious mitt romney demanding to be addressed as 'mitthew' now,1
peak inequality: investigating the lack of diversity among tv directors,0
millions of american lips called to service in fight against poverty,1
catholic couple embraces 'who am i to judge',0
man thinks receptionist is hitting on him,1
maybe we shouldn't waste money on drug testing michigan welfare recipients,0
anne hathaway to moms: 'there is no shame in gaining weight during pregnancy',0
increasingly paranoid campbell's begins stockpiling all its soup to prepare for doomsday,1
struggling us airways introduces $100 million bomb fee,1
first-generation american's job taken by his father,1
man unsure how fellow diners got impression appetizer was ordered for table,1
new history channel program explores what would have happened if history channel never existed,1
man made clear-headed choice to upload series of online videos explaining how to install surround sound speakers,1
new 'star wars: battlefront' trailer lands -- and it's slicker than a greased-up 3po,0
merrick garland kind of uncomfortable with political analysts casually pointing out he'll die relatively soon after nomination,1
queen elizabeth watches as oxen pull apart farmer who failed to provide yearly tithe of grain,1
clinton clinton,1
wild truck water-bead stunt ends with child endangerment charge,0
in your face: the hidden history of plastic surgery and why looks matter,0
pope francis concerned about infection from holy spirit bite,1
can 'super coral' save our oceans?,0
8 famous women who popped the question,0
trial for charleston church shooter dylann roof delayed until january,0
area man still talking about crazy productive afternoon 4 months ago,1
bath & body works scientists destroy experimental scent unfit for mankind,1
the quiet global transformation of global development,0
"climate scientists are like 'doomsday street preachers,' fox guest says",0
mitch mcconnell admits zika legislation is not clean,0
raccoon family tired of taking care of rabid father,1
trump's new 'domestic gag rule' would strip funds from planned parenthood,0
kindergartener allegedly barred from school because she has two moms,0
stephen curry apologizes for being better than everyone else,0
only jewish kid in class asked to talk about holocaust remembrance day,1
"2018 the year it all going to fall into place, delusional sources report",1
gop 'self-deportation' fantasy is alive and well,0
rahm emanuel breaks ground on new jason van dyke police academy,1
how to find work you love,0
republicans are killing this regulation in order to save it,0
"report: detroit bankruptcy might transform city into some kind of hellish, depopulated wasteland",1
'springsteen on broadway' is the 'rock and roll storybook' dreams are made of,0
'tis the season to be cheeky with 'jingle butts' music video,0
kelly clarkson covered 'give me one reason' because she's the best,0
this is how we know daca didn't cause the border crisis,0
"stop right now, this is the most precious beach town you'll ever see",0
poll shows support for birth control mandate on eve of court ruling,0
10 reasons it's awesome to be a black gay man,0
watch a young jennifer lawrence in a high school shakespeare play,0
woman 'dragged' from west virginia hearing after listing lawmakers' oil and gas donors,0
mom saw a bunch of photos from women's march online,1
family has way too many daughters for them not to have been trying for son,1
"gop officials urge calmer, more reasonable death threats toward kavanaugh accuser",1
it's the horrifying tale of the drunk girl who won't stop partying,0
dad doesn't trust the fish here,1
getting arm squeezed by walgreens blood pressure machine most physical contact man has had in months,1
robed mark warner infiltrates secret torchlit ahca ceremony deep in woods behind capitol,1
cool mccain supporter wears 'mccain 2000' shirt to campaign speech,1
college allowing students individual commencement speakers to make ceremony acceptable for all,1
good scissors not in the fucking drawer,1
"conan o'brien receives rough reception in haiti, because of donald trump",0
struggling single mother seriously considering putting baby up for audition,1
13 year old boy diagnosed with incurable puberty,1
donald trump will produce upcoming 'celebrity apprentice',0
"'i don't know who i am anymore, little buddy!' says mother in midst of nervous breakdown",1
rodeo clown bleeding on the inside,1
report: no way this year's summer strawberries living up to hype,1
this woman made it her mission to make a dangerous job safer by inventing a unique solution,0
"'help has to be on the way now,' thinks syrian man currently being gassed",1
"obama spends wednesday doing some urgings, some callings on",1
"brad pitt promises 1,000 years of peace",1
george r.r. martin promises fans 'the winds of winter' is nearly started,1
trump denies existence of 2016 russia meeting commemorative merchandise,1
'what if no one travels anywhere ever again?' wonders panicked transportation secretary,1
mike pence vows to cut conservation funding after discovering elk don't mate for life,1
listen to america: a huffpost road trip,0
exclusive: ginger minj's 'white christmas' video premiere,0
a pragmatist's guide to coming out stronger after divorce,0
"'grand theft auto v' missions to focus largely on tutoring, community outreach",1
a test for chronic fatigue syndrome,0
everything you need to know about the bad democratic turnout numbers,0
"retired couple realizes dream of buying camper, driving around country murdering hitchhikers",1
the horrible awkwardness and angst of being a beginner: in aikido or at anything,0
area dad needs more time with museum plaque,1
donald trump jr.'s thanksgiving conversation starter tips spectacularly backfire,0
the 'arthur' generation will need to save america,0
local band finds great photo for flier,1
diabetic 8-year-old throws worst birthday party ever,1
snyder decides against endorsing trump for president,0
"the vergara era, part 2: a new opportunity",0
hillary clinton clarifies her stance on $15 minimum wage,0
mexicans sweeping the nation,1
"middle east small talks to focus on getting israel, palestine to discuss weather",1
ronnie wood says he worried it was 'time to say goodbye' after cancer diagnosis,0
sick parent offers man perfect excuse to move back home and give up dreams,1
'mad men' premiere features group of actors who are scared to death of never making transition to film,1
hillary clinton takes a stand against 'subminimum wage' for people with disabilities,0
tearful mitt romney announces he has rare disease where you can't sit quietly on stool when repeatedly asked to,1
pilot informs passengers they will be rerouting to avoid scary cloud that looks like shark,1
kkk member struggles to blame blacks for his hangover,1
"60 years after brown: segregated schools still a fact, but don't have to be bad schools",0
"sick, elderly man screaming about foreigners stealing from him",1
invest in human capital,0
man who does everything at last minute wonders how you do it,1
fantasy novel not holding back on criticisms of dwarvish culture,1
eu headscarf ban ruling sparks faith group backlash,0
satan to revise bar code system,1
pennsylvania's congressional delegation will no longer be all men,0
man charged after found with rosie o'donnell's daughter chelsea,0
guy washing hands for full 5 seconds like he's going into surgery,1
dad tests limits of cheesecake factory vibrating pager,1
fox cancels apatow's 40-year-old virgin,1
trump brings back 'pocahontas' slur of elizabeth warren at event for native american veterans,0
islamic fundamentalists condemn casual day,1
smb's are changing the way they do business,0
nation could probably draw john boehner from memory at this point,1
"'now that's what i call a fumble,' reports man at super bowl party who has no idea what he's talking about",1
son possibly made withdrawal with dead mom,0
mental illness determined not to let stigma of area man define it,1
'birdman' may have just locked up best picture,0
fbi can't bring themselves to bust guy torrenting every season of 'picket fences',1
foods that are better outside the u.s.,0
bisexual: the new 'it' word,0
twitter introduces red x mark to verify users it's okay to harass,1
bush campaign paints kerry as pre-raphaelite contessa,1
trump's fbi attacks are helping accused terrorists defend themselves in court,0
donald trump's inauguration singer speaks out against transgender bathroom bills,0
immigration activists say deportation raids could send families to their deaths,0
"this season, the nfl got political. roger goodell is still trying to pretend it's not.",0
"at dnc, democrats spoke out on a topic that republicans mostly avoided",0
michael cohen relieved to remember it illegal to charge lawyer with crime,1
man offered cocaine by guy he met at urinal 90 seconds ago,1
god excited about first trip to japan,1
new pepsi negative-220 burns twice the calories it contains,1
jeremy lin makes it a gold christmas for lakers,0
leaf that came out too early cold as shit,1
4 steps to a younger-looking neck,0
executive fascinated by electrician's lunch,1
satan refuses to accept any more catholic priests in hell,1
new cereal for poor stays crunchy in water,1
magazine editor undergoes sleek new redesign,1
consumer reports rates self 'excellent',1
country singer & former 'one tree hill' star jana kramer welcomes daughter jolie rae,0
finding the right college is hard. this new database helps students choose wisely.,0
woman decides period over,1
how to make this the best holiday season money can buy,0
the best ifttt recipes to make the most of your vacation,0
special counsel robert mueller probing trump business transactions: report,0
jeb bush would 'of course' support donald trump if he won the nomination,0
coin collector has some pretty fucking nice coins,1
this bus stop must be near culinary school,1
kim kardashian tackled by hollywood prankster at paris fashion week,0
family unsure why grandmother's caregiver seems like he actually enjoys spending time with her,1
the meldonium ban is more about russia's reputation for doping than performance,0
hotel now charging patrons for looking at items in minibar,1
kerry volunteer gets some kerry-primary victory sex,1
the sexiest hotels in the dominican republic,0
wedding photographer keeps calling bride's parents 'mom' and 'dad',1
activists: syrian warplanes bomb isis training camp,0
self-conscious panda swears it overheard zookeeper refer to it as 'giant',1
hillary clinton gets a clean bill of health from her doctor,0
immigration officials asking about fourth-grader turned away by nyc school,0
forensic evidence shows signs of feeble struggle,1
a review of 'jim wallis: in conversation',0
van morrison removed from rock and roll hall of fame following allegations he bet on album sales,1
"area father remembers when he thought killing family, self was crazy",1
facebook vows not to hand over users' medical records to government,1
allowance to teach child importance of parental dependence,1
is it ok to be rich?,0
mitt romney tweets he's not donald trump's secretary of state pick,0
michelle obama shutters 'let's move!' program after failed 3-year run,1
matt damon now knows you are sexually attracted to his ponytail,0
trump and the catholic schism,0
chuck schumer admits democrats need to do more to show americans what they stand for,0
total idiot resorting to tribalism decades before climate catastrophe makes it necessary,1
jim parsons is having a divine moment,0
tooth fairy helps self to more teeth,1
gated-community members wish there was something they could do,1
man who spent last 2 years drawing pictures of trump and putin making out beginning to realize just how wrong he's been,1
"'just take it slow, and you'll be fine,' drunk driver assures self while speeding away in stolen police car",1
how the uk is strengthening interfaith bonds after paris attacks,0
u.n. secretary general staring straight at israeli ambassador while describing horrors of apartheid in nelson mandela speech,1
oscar mayer inedibles not huge success,1
retarded child gets new video game right before every dinner party,1
new gop tax plan requires welfare recipients to apply for each individual piece of food,1
this man used a beyonce concert as a chance to catch up on some reading,0
biden clenches plastic beer cup in teeth to free hands for clapping,1
from hunter to hunted: 5 attraction marketing strategies to pull in more prospects,0
'toni braxton: unbreak my heart' is lifetime's most watched movie in a year,0
"we asked republicans why they think trump's lawyer gave a porn star $130,000",0
i was taught to be ashamed of my sexuality,0
designers opt to stick with last year's fashions,1
area child disappointed to learn parents' love unconditional,1
"instead of thoughts and prayers, oregon passes new gun safety law",0
bedtime story from fucking bible again,1
area mom off thinking about princess diana again,1
apple user acting like his dad just died,1
shredding the fourth amendment in post-constitutional america,0
driver rattled by brush with death for nearly 10 seconds,1
"in the weeks before trump takes office, obama's mad dash to save public lands",0
top cute,1
the best teams in sports... 5 years from now,0
"los angeles train hits car on tracks and derails, 21 hurt",0
costa rica's green energy feat shows hope for the planet,0
the huffington post is hiring story editors for the voices department,0
"bitchy girlfriend just asking for anne hathaway to swoop in, steal man away",1
sanders beats all top republican candidates in latest poll,0
so that's why marijuana gives you the munchies,0
defensive clinton campaign releases new 'who are you to judge me?' ad,1
the importance of increasing efficiency in new york city government,0
history buff can really relate to millard fillmore,1
authorities: missing plates and glasses found filthy but safe in roommate's room,1
"journalists attend private koch brothers gathering, but agree not to name donors",0
choose gratitude or anger: a 3-part test (if you dare),0
smuggler allegedly brings weed-stuffed bible into jail,0
"a crow didn't touch me, i got my period",0
area man loses all control of face while thinking,1
lapd going about day in uncomfortable silence,1
fog machine heightens drama at children's piano recital,1
"'no way to prevent this,' says only nation where this regularly happens",1
arby's releases barbara bush tribute edition curly fries,1
priest regrets vow of celibacy after learning about furries,1
john kelly hoping prejudiced anti-immigrant comments got him back on trump's good side,1
quaker scientists formulate world's oldest-fashioned oatmeal,1
margaret atwood speaks out against anti-abortion legislation in the u.s.,0
new ferguson judge is finally doing something about abusive court,0
loser can't even get wife pregnant,1
trump's new travel ban could hinder research on hiv and mental health,0
bush dropped out. here's where his voters might go.,0
'breitbart' refusing to release names of mass shooting victims in order to prevent them from getting attention,1
owner tearfully releases american pharoah after triple crown win,1
romney throws quinceañera for ann in last-minute attempt to get hispanic vote,1
white terror demands white action: what allies need to do right now for charlottesville,0
'saving private ryan' actor tom sizemore arrested for domestic violence,0
"the center's mike thompson says 'p.s., i love you because...'",0
panicked keynote speaker suddenly can't remember what future of innovation is,1
teens find this one hilarious store,1
"these nikes are nuts, in a good way",0
justice kennedy out for rest of session with tear in adjudicatory tendon,1
"obama, rachel goldstein really hitting it off on group trip to israel",1
man always sleeps with bat beside bed just in case any major league pitchers try to break in,1
this bracelet lets a dad feel what it's like to be pregnant ... in his wrist,0
maximum age for strollers raised to 8,1
kotex introduces new confetti popper tampons for ringing in the new year,1
stock market soars after investors decide that would be fun thing to make happen today,1
area man has always had soft spot for puck,1
casual christian accepts christ as his lord but not his savior,1
beekeeper slowly becoming bee hoarder,1
great-grandmother actually not that great,1
eric bolling tells bill o'reilly not to use his son's death as political cover,0
obama to name former procter & gamble executive as va secretary,0
report: 92% of divorced parents get back together if children ask enough times,1
historical archives: to-day in american history,1
somali pirates free 26 asian sailors after 4 years in captivity,0
viral photo catches alabama cop helping homeless father and son,0
microsoft is trying to predict the next president,0
man spends entire marketing meeting nodding,1
the 5 tax mistakes you're making right now,0
flu takes down biggest guy in office as warning to rest of staff,1
joseph gordon-levitt performs 'rhythm nation' almost better than janet jackson herself,0
the final solution: a thanksgiving message (or ain't too proud to hate),0
taylor swift left nashville a long time ago folks,0
vanquished foe's skull makes surprisingly bad wine goblet,1
bank teller's bad spanish skills thwart attempted robbery,0
olympic torch used to ignite tibetan protesters,1
judge totally understands where defendant is coming from,1
my picks for gospel winners at the grammys,0
why we should tip service workers generously,0
obamacare vs. trumpcare: a public health dilemma,0
sam bee's show explains the gop tax plan 'in terms even a trump kid' can understand,0
pope starting to suspect bishops getting huge erections during meeting on child sexual abuse might be pedophiles,1
"nigel, the lonely seabird, dies next to the concrete bird replica he loved for 5 years",0
slightly overweight middle-aged woman really carrying rest of church choir,1
ellie goulding perfectly sums up the sheer terror of panic attacks,0
"zoning committee meets, zones a bunch of shit",1
club for growth attacks donald trump with new ads in iowa,0
report: a lot of people's dream is to have sex with a ghost,1
'the voice' amends rules to allow votes from those who aren't white landowning males,1
bigot relieved to learn gays in his state still effectively subhuman,1
ethan hawke's body found dumped in laurel canyon as 2019 oscar race heats up,1
'this is us' is finally going to tell us how jack died,0
the nfl should provide an exemption for medical marijuana,0
"'he's a stockbroker,' says woman who finds that exciting",1
democrats and republicans agree more than you'd think about kim davis and abortion rights,0
dwight howard on helping to empower and educate girls in east africa,0
1930s comedian pretty sure he's outsmarted murphy bed,1
robin wright explains why she fought for equal pay for 'house of cards',0
horrible facebook algorithm accident results in exposure to new ideas,1
10-pound fetus about to fucking wreck small mom,1
pringles level at six inches and falling,1
an art colony thrives on skid row,0
"person standing far away from burial must have deep, dark secret about deceased",1
you have to love yourself first,0
these two men share the beautiful story of how their family was created,0
entirety of man's personal data protected by reference to third season of 'the west wing',1
sitcom characters still in shock after christmas episode proves existence of santa claus,1
dozens of black-rubber-clad masochists line up outside capitol for paul ryan's job,1
"guns are 'the ultimate public health crisis,' howard dean tells democratic convention",0
time is 'running out' as great barrier reef hit by another mass bleaching,0
frederick's of anchorage debuts crotchless long underwear,1
10 ways to deal with a difficult coworker,0
donald trump is winning at being the butt of late-night tv jokes,0
marc summers realizes police will immediately look for body in giant pile of mashed potatoes,1
royal baby spits up on great-grandmother,1
death results in great deal of paperwork,1
5 lessons from chibok,0
woman on gym treadmill cranks incline up to 90 degrees,1
how the gotham typeface came to define our era,0
cbs laugh track threatens walkout,1
"when disaster strikes, mothers and newborns are the most vulnerable",0
"gaunt, hollow-eyed big bird enters sixth day of hunger strike against proposed trump budget",1
"newly engaged couple receives incredible outpouring of insincerity from family, friends",1
our american life,0
new walgreens facebook plugin allows users to see what prescriptions friends are picking up,1
eric trump says those who oppose his dad are 'not even people',0
joe biden urges people to watch how their senators vote on gun bills,0
"government bails  out dow jones with 10,000 points",1
nas talks 'ghostbusters'-inspired lines and sartorial heroes,0
'spongebob' fans will love this pineapple-shaped villa in punta cana,0
withholding child abuse emails further damages tarnished telegraph,0
"is 'having it all' possible for dads, too?",0
"hmm, there may be a link between vaccines and political pandering",0
woman sensitive about that thing on her face,1
jason momoa reveals he spent months becoming useless dumbass to get into character for 'aquaman',1
hurry! early black friday deals have already started on amazon,0
missing girl's family really hates to part with reward,1
4 back-to-school myths about college textbooks,0
area twentysomething disillusioned with disillusionment,1
the best far-flung hotels worth the trip,0
report: most americans have fewer than 5 hobbies saved for retirement,1
"so, you're gonna do chemo?",0
poignant dying words wasted on dumbshit nephew,1
george h.w. bush's casket completes log flume journey to u.s. capitol,1
coal now too expensive to put in christmas stockings,1
"'no way to prevent this,' says only nation where this regularly happens",1
report: majority of americans experience profound sense of dread when asked to name favorite music,1
if you see a muslim at the airport,0
"j balvin, nicky jam say they changed the notion that reggaetón is misogynist",0
pair of 26-year-olds hit it off after learning they have student loans from same bank,1
people sick of 'thoughts and prayers' demand action after florida school shooting,0
ukraine at a crossroads: could putin lose his job over mishandling the crisis?,0
my kids eat chicken nuggets (and other parenting atrocities),0
a stranger was bleeding in the parking lot. this man saved his life with a shirt and a bear hug,0
study: 74% of home contractors end up accidentally walling themselves in during housing construction,1
"'what about you, are you on my team?' trump asks george washington portrait",1
area man got so wasted and abusive last night,1
principal: adding lgbt club would 'create bullying',0
blind date pronounces every syllable of word 'comfortable',1
madonna compares donald trump 'nightmare' to being dumped by an ex-lover,0
bernie sanders to propose new rule requiring fair prices for taxpayer-funded drugs,0
former 'bachelorette' ali fedotowsky expecting first baby with fiancé kevin manno,0
new workplace diversity initiative kills one white employee every hour on the hour until more minority candidates hired,1
man panics after reaching age where parents prematurely started family,1
man looking for job that plays to his natural talent for half-assing things,1
"jeb poverty plan would end food stamps, let states sort things out",0
german fairy tale ends predictably,1
camera falls out of love with melanie griffith,1
10 reasons you should care about d.c. voting rights,0
students send hilarious tweets to superintendent thanking him for snow day,0
man sleeps through his stop on elevator,1
50 ethical businesses to support on black friday,0
zachary quinto uses fake name at starbucks. customer gets steamed.,0
buy or rent? and where to park your down payment until you decide?,0
u.s. defense secretary: 'i am in love',1
petition to censure trump gains momentum,0
bitcoin plunge reveals possible vulnerabilities in crazy imaginary internet money,1
elderly man looks even sadder when smiling,1
find the best new beauty product for your zodiac sign,0
man attempting to determine whether restaurant closed without getting too close,1
saudi women receive husbands' explicit permission to celebrate right to vote,1
dad's been on a parenting kick lately,1
"in deep red territory, constituents grill congressman in fiery town hall",0
widespread power outage strikes detroit,0
new planet discovered 400 light years away from public's interest,1
robots speak out against asimov's first law of robotics,1
wife too busy videotaping elk attack to save husband's life,1
a good news story about 'imperfect' pregnancy,0
ronald reagan endorses 'pill lady' for president,1
man who skipped airport's moving walkway immediately realizes what an arrogant fool he's been,1
concerts held to wish world's poor good luck,1
fbi calls for increased surveillance powers to keep pace with evolving threat of presidential administrations,1
"despite the ugliness, i am staying hopeful in trump's america",0
austria and germany open borders to migrants offloaded by hungary,0
report: revolving door gave goldman access to fed secrets,0
ethics group blasts pence for using government travel for colts stunt,0
hooded members of congress drown another love child in potomac to prevent affair from getting out,1
gop leaders say they're not giving up on repeal vote this week,0
a museum in germany is asking designers to give peace a new sign,0
hush falls over prison population as madoff stabs cellmate in throat,1
he looks at tuberculosis death toll and wonders why you're not worried,0
the first family looked exceptionally stylish on easter sunday. obvi.,0
avoiding popular songs somehow accomplishment for local man,1
libertarian candidate embraces his role as spoiler in pennsylvania election,0
bill clinton: trump attacks on hillary clinton 'fact-free',0
tiny horse lives large with labrador pal,0
your fafsa questions answered,0
raising a special child,0
panicked newborn didn't realize breathing would be on apgar test,1
michigan's congressional hopefuls worry about the next flint,0
man looks on helplessly as friend tells him story he's already heard,1
"study: us cities have worse inequality than mexico, with rich and poor living side-by-side",0
hacker just going to fix a few annoying typos on company's website before stealing customer data,1
dot declares pothole too perfect to fill,1
koch brothers encouraging youth to make voices heard by registering super pac,1
south carolina governor signs 20-week abortion ban,0
serena williams knocked out of olympics in stunning third-round loss,0
laffy taffy sponsors every cobblestone at 9/11 memorial,1
dog doesn't realize he just graduated,1
town hall attendees still standing patiently waiting for their questions to be answered,1
'monster' cyclone leaves trail of devastation in vanuatu,0
"weird kid opts to sit perfectly still, let universe decide his fate after teacher instructs class to pair up",1
david letterman on why he doesn't care that much about television anymore,0
public assured escaped convict has 24 years of rehabilitation under his belt,1
search for 'kick-ass shelves' continues,1
jack palance still dead at 87,1
male substitute teacher with ponytail cloaked in mystery,1
"rick moranis to star in straight-to-video release honey, i shrunk some more shit",1
mobile news crew reports on own van breaking down,1
whoops! selfie snapper smashes sculpture days after exhibit opens,0
ahmadinejad signs on as dean at sarah lawrence,1
new 10-10-911 saves emergency victims up to 30 percent,1
facebook friend apparently dead now,1
xylophonist shredding it,1
the resume secret it takes a lifetime to learn,0
freshman dorm kept cool by 870 fans,1
father spends joyful afternoon throwing son around backyard,1
"teach, stream, be acquired: why online education investors are hot for teacher",0
3 things i needed to hear when i weighed 300 pounds,0
david brock urges cbs to reopen review of discredited benghazi report,0
is france right to ban the burkini?,0
area woman fulfills dream of becoming writer by getting job at bookstore,1
issa rae is 'tired' of constantly being asked about the black experience,0
lisa frank is now fighting the patriarchy (with rainbow kittens),0
once again: can a mission-driven nonprofit be blindsided?,0
"report: only 47,000 social justice milestones to go before u.s. achieves full equality",1
gold medal burgers you have to make for labor day,0
huffpost rise: what you need to know on june 9,0
"beijing, brazil, 7-1: awareness shift in soccer, society",0
counting down the seconds until putin betrays trump,0
last living tamagotchi dies in captivity,1
incredible new year's celebrations around the world,0
"no work, no justice",0
transgender troops are fighting for this country. will our country fight for them?,0
trump the globalist plutocrat,0
michael cohen completes first stage of intricate plan to break incarcerated brother out of prison from inside,1
supercuts now offering to give customers baths for $14.99,1
parents peeved their kids' hatchimals are cursing up a storm,0
the washington post walks back report of steve bannon 'confrontation',0
hope solo shows off zika defense armor for rio olympics,0
revlon unveils new age-defying monster makeup,1
the single greatest threat to our national security is donald trump,0
law-abiding citizen keeps herself on track with weekly cheat day,1
wanda hallburton's gps guide for positive self-talk,0
why i chose an african publisher over a western one,0
11 excellent books in the brand new kirkus collections,0
104-year-old reveals secret to long life being cursed by witch to wander earth eternally,1
the sanders phenomenon,0
row of dusty playstation 2 games continues reign at top of book shelf,1
tourists not leaving landmark until all permutations of groups and cameras exhausted,1
erik estrada big in mexico,1
'new hampshire' episode 3: how the heroin crisis is bleeding into the primary,0
stephen king stuck at book signing for hours writing personalized novels for line of fans,1
"these folks had a terrible, horrible, no good, very bad time tapping this keg",0
"quaaludes are back, reports quaalude-taking journalist",1
how to safely thaw a turkey,0
dnc honors historic nominee by dropping broken glass shards from ceiling,1
this guy gave his girlfriend a mcnugget bouquet and we're lovin' it,0
disney rehires director james gunn as part of company-wide push towards embracing pedophilia,1
showerhead self-conscious about single jet that sprays sideways,1
6 things i've decided to stop stressing about,0
how one mom taught her 7-year-old daughter to accept her natural beauty,0
detainees sue private prison over forced labor,0
bashar al-assad introduces syrian bike-sharing program,1
russian officials scrambling as plan to delegitimize western democracy moving way faster than intended,1
beer aisle scanned for something asshole friend won't mock,1
jon favreau tapped to write and produce live-action 'star wars' series,0
boeing lays off only guy who knows how to keep wings on plane,1
'f**k muzlim' and 'terroist' spray-painted on muslim man's car,0
hillary clinton calls for michigan gov. rick snyder to resign or be recalled,0
panicked studio delays 'man of steel' to get more shots of people looking up in awe,1
cowpoke lassoes calf while perched on moving cop car,0
missing girl elected to aruban parliament,1
here's some ways to get teachers to support lgbt students,0
"convention-goer removes name tag, vanishes back into world of anonymous hilton orlando guests",1
helping ukraine: how?,0
new report finds voters have no idea how outraged they supposed to be about anything anymore,1
texas to execute man for murdering boy and drinking his blood,0
"marti noxon poured her own life into 'to the bone,' a movie about anorexia",0
kirsten dunst opens up about the life of a child star,0
genealogists find 99% of people not related to anyone cool,1
man who downloaded $2.99 meditation app prepares to enter lotus plane of eternal serenity,1
this is why so many boomers are delaying retirement,0
pawn-shop customer plans to buy toaster back,1
photographer assumes endless identities in her mother's clothes,0
"wine glasses, burnt-down candles, strewn rose petals suggest dolphins courting pete carroll",1
"like issa rae, i'm also 'rooting for everybody black'",0
"keith ellison, first muslim congressman, carries clock in solidarity with ahmed",0
"man fishes for legendary, elusive compliment",1
friend from college wasted no time becoming white-collar professional,1
obama responds to 8-year-old who has really big 'politics worries',0
"handlers constantly reminding gingrich to stay on uninspiring, belittling message",1
clinton sold,1
"during the debate, these two did the unthinkable and united the country",0
most hillary clinton voters think the allegations against bill clinton are credible,0
man who threatened to move to canada before election still here,1
weird coworker apparently likes walking two miles to work every day,1
this women pulled out all the stops to land her dream job,0
this democratic congressman is adopting obama's overtime rules,0
hip-hop legends salt-n-pepa want more women in rap today,0
spotify and bumble will finally let you judge potential dates based on their music taste,0
this town is becoming hogsmeade for one magical 'harry potter' weekend,0
limited-edition russet potato comes with certificate of authenticity,1
"restaurant teaches former inmates to cook, helps them get back on their feet",0
an mtv 'cribs'-style tour of pluto,0
friday talking points -- gop anti-trump rants,0
family moves elderly aunt into subconscious,1
doctor has troubling amount of available appointment slots,1
report: iran less than 10 years away from 2016,1
nfl players buy xbox for 10-year-old boy wearing colin kaepernick jersey,0
u.s. reverses course and offers new dates for nato talks,0
"heroin deaths are surging, but deadliest drugs still come in pill bottles",0
character witness told he doesn't have what it takes to be star witness,1
america's favorite mexican food chain is... not chipotle. not even close.,0
top official resigns from trump epa with scathing letter,0
chili's introduces savory new 200-times-baked potatoes,1
